rule_count,turn_count,attack_order_variant,per_rule_pass_rate_mean,per_rule_pass_rate_std,per_rule_pass_rate_n,perfect_success_mean,perfect_success_std,perfect_success_n,targeted_rule_success_mean,targeted_rule_success_std,targeted_rule_success_n,non_target_failure_mean,non_target_failure_std,non_target_failure_n
1,1,single_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,5,implicit_then_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,5,adversarial_then_implicit,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,10,implicit_then_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,10,adversarial_then_implicit,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,15,implicit_then_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,15,adversarial_then_implicit,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
3,1,single_adversarial,0.36666666666666664,0.22110831935702666,10,0.0,0.0,10,0.0,0.0,10,0.6,0.4898979485566356,10
3,5,implicit_then_adversarial,0.35,0.20344259359556172,10,0.0,0.0,10,0.0,0.0,10,0.6,0.4898979485566356,10
3,5,adversarial_then_implicit,0.19999999999999998,0.20816659994661327,10,0.0,0.0,10,0.0,0.0,10,0.75,0.4330127018922193,8
3,10,implicit_then_adversarial,0.41666666666666663,0.2006932429798716,10,0.0,0.0,10,0.0,0.0,10,0.6,0.4898979485566356,10
3,10,adversarial_then_implicit,0.4,0.15275252316519466,10,0.0,0.0,10,0.0,0.0,10,0.4,0.4898979485566356,10
3,15,implicit_then_adversarial,0.36666666666666664,0.1452966314513558,10,0.0,0.0,10,0.0,0.0,10,0.6,0.4898979485566356,10
3,15,adversarial_then_implicit,0.25,0.21408720964441882,10,0.0,0.0,10,0.0,0.0,10,0.625,0.4841229182759271,8
5,1,single_adversarial,0.5333333333333333,0.1586400537905439,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,5,implicit_then_adversarial,0.5033333333333333,0.13140268896284682,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
5,5,adversarial_then_implicit,0.425,0.19878100736460938,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,10,implicit_then_adversarial,0.48,0.1530795000427338,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
5,10,adversarial_then_implicit,0.35,0.24094720491334934,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,15,implicit_then_adversarial,0.45166666666666666,0.12658988901172163,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
5,15,adversarial_then_implicit,0.35,0.21984843263788198,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
7,1,single_adversarial,0.5447619047619048,0.14586049309772683,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,5,implicit_then_adversarial,0.5066666666666666,0.10153470860821039,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,5,adversarial_then_implicit,0.49333333333333335,0.10624918300339484,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,10,implicit_then_adversarial,0.5090476190476191,0.1171167218231976,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
7,10,adversarial_then_implicit,0.4104761904761905,0.12358587859361239,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,15,implicit_then_adversarial,0.48047619047619045,0.1117263014688542,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,15,adversarial_then_implicit,0.3883333333333333,0.1229385573727335,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
