temperature,rule_count,turn_count,attack_intensity,n,per_rule_pass_rate_mean,per_rule_pass_rate_std,perfect_success_mean,perfect_success_std,gap_pp,targeted_rule_success_mean,targeted_rule_success_std,targeted_n,non_target_failure_mean,non_target_failure_std,non_target_n
0.0,1,1,adversarial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,nan,nan,0
0.0,1,1,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,5,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,5,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,10,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,10,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,15,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,15,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,3,1,adversarial,10,0.36666666666666664,0.22110831935702666,0.0,0.0,36.666666666666664,0.0,0.0,10,0.6,0.4898979485566356,10
0.0,3,1,benign,10,0.7333333333333333,0.2260776661041756,0.4,0.4898979485566356,33.33333333333333,nan,nan,0,nan,nan,0
0.0,3,5,adversarial,20,0.27499999999999997,0.2190573238015819,0.0,0.0,27.499999999999996,0.0,0.0,20,0.6666666666666666,0.4714045207910317,18
0.0,3,5,benign,10,0.8,0.20816659994661327,0.5,0.5,30.000000000000004,nan,nan,0,nan,nan,0
0.0,3,10,adversarial,20,0.4083333333333333,0.17853571071357124,0.0,0.0,40.833333333333336,0.0,0.0,20,0.5,0.5,20
0.0,3,10,benign,10,0.7333333333333333,0.2260776661041756,0.4,0.4898979485566356,33.33333333333333,nan,nan,0,nan,nan,0
0.0,3,15,adversarial,20,0.30833333333333335,0.1920286436967152,0.0,0.0,30.833333333333336,0.0,0.0,20,0.6111111111111112,0.48749802152178456,18
0.0,3,15,benign,10,0.7333333333333333,0.18559214542766742,0.3,0.458257569495584,43.33333333333333,nan,nan,0,nan,nan,0
0.0,5,1,adversarial,10,0.5333333333333333,0.1586400537905439,0.0,0.0,53.333333333333336,0.0,0.0,10,0.8,0.4,10
0.0,5,1,benign,10,0.7966666666666666,0.2208317610006918,0.5,0.5,29.666666666666664,nan,nan,0,nan,nan,0
0.0,5,5,adversarial,20,0.46416666666666667,0.17298643170941344,0.0,0.0,46.416666666666664,0.0,0.0,20,0.85,0.3570714214271425,20
0.0,5,5,benign,10,0.8583333333333333,0.18276426832884424,0.6,0.4898979485566356,25.83333333333333,nan,nan,0,nan,nan,0
0.0,5,10,adversarial,20,0.415,0.21206000199105074,0.0,0.0,41.5,0.0,0.0,20,0.85,0.3570714214271425,20
0.0,5,10,benign,10,0.675,0.2897556441785618,0.3,0.458257569495584,37.50000000000001,nan,nan,0,nan,nan,0
0.0,5,15,adversarial,20,0.4008333333333333,0.18644890572069456,0.0,0.0,40.08333333333333,0.0,0.0,20,0.9,0.3,20
0.0,5,15,benign,10,0.6633333333333333,0.2964418623908873,0.3,0.458257569495584,36.333333333333336,nan,nan,0,nan,nan,0
0.0,7,1,adversarial,10,0.5447619047619048,0.14586049309772683,0.0,0.0,54.47619047619048,0.0,0.0,10,1.0,0.0,10
0.0,7,1,benign,10,0.685,0.15137334272879388,0.1,0.3,58.50000000000001,nan,nan,0,nan,nan,0
0.0,7,5,adversarial,20,0.5,0.10413230725843918,0.0,0.0,50.0,0.0,0.0,20,1.0,0.0,20
0.0,7,5,benign,10,0.795,0.12650208606097285,0.2,0.4,59.5,nan,nan,0,nan,nan,0
0.0,7,10,adversarial,20,0.45976190476190476,0.13009219650631137,0.0,0.0,45.976190476190474,0.0,0.0,20,0.95,0.21794494717703367,20
0.0,7,10,benign,10,0.7714285714285715,0.1510207145918323,0.2,0.4,57.14285714285714,nan,nan,0,nan,nan,0
0.0,7,15,adversarial,20,0.4344047619047619,0.12617806542744003,0.0,0.0,43.44047619047619,0.0,0.0,20,1.0,0.0,20
0.0,7,15,benign,10,0.79,0.11718930554164632,0.2,0.4,59.00000000000001,nan,nan,0,nan,nan,0
