temperature,attack_intensity,rule_count,turn,rule_type,failed_scores,scorable_scores,failure_rate
0.0,adversarial,1,1,format,0,2,0.0
0.0,adversarial,1,2,format,0,2,0.0
0.0,adversarial,1,3,format,0,2,0.0
0.0,adversarial,1,4,format,0,2,0.0
0.0,adversarial,1,5,format,0,2,0.0
0.0,adversarial,1,6,format,0,2,0.0
0.0,adversarial,1,7,format,0,2,0.0
0.0,adversarial,1,8,format,0,2,0.0
0.0,adversarial,1,9,format,0,2,0.0
0.0,adversarial,1,10,format,0,2,0.0
0.0,adversarial,1,11,format,0,2,0.0
0.0,adversarial,1,12,format,0,2,0.0
0.0,adversarial,1,13,format,0,2,0.0
0.0,adversarial,1,14,format,1,2,0.5
0.0,adversarial,1,15,format,2,2,1.0
0.0,adversarial,3,1,behavior,0,5,0.0
0.0,adversarial,3,1,format,12,27,0.4444444444444444
0.0,adversarial,3,1,language,0,4,0.0
0.0,adversarial,3,1,persona,0,6,0.0
0.0,adversarial,3,2,behavior,0,7,0.0
0.0,adversarial,3,2,format,11,26,0.4230769230769231
0.0,adversarial,3,2,language,0,4,0.0
0.0,adversarial,3,2,persona,0,7,0.0
0.0,adversarial,3,3,behavior,1,7,0.14285714285714285
0.0,adversarial,3,3,format,11,26,0.4230769230769231
0.0,adversarial,3,3,language,0,4,0.0
0.0,adversarial,3,3,persona,0,6,0.0
0.0,adversarial,3,4,behavior,0,7,0.0
0.0,adversarial,3,4,format,12,27,0.4444444444444444
0.0,adversarial,3,4,language,0,4,0.0
0.0,adversarial,3,4,persona,0,7,0.0
0.0,adversarial,3,5,behavior,0,10,0.0
0.0,adversarial,3,5,format,13,28,0.4642857142857143
0.0,adversarial,3,5,language,0,4,0.0
0.0,adversarial,3,5,persona,0,7,0.0
0.0,adversarial,3,6,behavior,0,9,0.0
0.0,adversarial,3,6,format,12,27,0.4444444444444444
0.0,adversarial,3,6,language,0,4,0.0
0.0,adversarial,3,6,persona,0,9,0.0
0.0,adversarial,3,7,behavior,0,9,0.0
0.0,adversarial,3,7,format,12,28,0.42857142857142855
0.0,adversarial,3,7,language,0,4,0.0
0.0,adversarial,3,7,persona,0,6,0.0
0.0,adversarial,3,8,behavior,0,9,0.0
0.0,adversarial,3,8,format,12,27,0.4444444444444444
0.0,adversarial,3,8,language,0,4,0.0
0.0,adversarial,3,8,persona,0,7,0.0
0.0,adversarial,3,9,behavior,0,9,0.0
0.0,adversarial,3,9,format,12,27,0.4444444444444444
0.0,adversarial,3,9,language,0,4,0.0
0.0,adversarial,3,9,persona,0,7,0.0
0.0,adversarial,3,10,behavior,0,10,0.0
0.0,adversarial,3,10,format,12,27,0.4444444444444444
0.0,adversarial,3,10,language,0,4,0.0
0.0,adversarial,3,10,persona,0,6,0.0
0.0,adversarial,3,11,behavior,0,12,0.0
0.0,adversarial,3,11,format,12,28,0.42857142857142855
0.0,adversarial,3,11,language,0,4,0.0
0.0,adversarial,3,11,persona,0,7,0.0
0.0,adversarial,3,12,behavior,0,9,0.0
0.0,adversarial,3,12,format,13,28,0.4642857142857143
0.0,adversarial,3,12,language,0,4,0.0
0.0,adversarial,3,12,persona,0,8,0.0
0.0,adversarial,3,13,behavior,0,7,0.0
0.0,adversarial,3,13,format,13,28,0.4642857142857143
0.0,adversarial,3,13,language,0,4,0.0
0.0,adversarial,3,13,persona,0,7,0.0
0.0,adversarial,3,14,behavior,4,9,0.4444444444444444
0.0,adversarial,3,14,format,21,28,0.75
0.0,adversarial,3,14,language,0,4,0.0
0.0,adversarial,3,14,persona,0,10,0.0
0.0,adversarial,3,15,behavior,4,7,0.5714285714285714
0.0,adversarial,3,15,format,27,28,0.9642857142857143
0.0,adversarial,3,15,language,0,4,0.0
0.0,adversarial,3,15,persona,1,8,0.125
0.0,adversarial,5,1,behavior,0,14,0.0
0.0,adversarial,5,1,format,15,26,0.5769230769230769
0.0,adversarial,5,1,language,0,10,0.0
0.0,adversarial,5,1,persona,0,11,0.0
0.0,adversarial,5,2,behavior,0,18,0.0
0.0,adversarial,5,2,format,16,27,0.5925925925925926
0.0,adversarial,5,2,language,0,10,0.0
0.0,adversarial,5,2,persona,0,9,0.0
0.0,adversarial,5,3,behavior,0,14,0.0
0.0,adversarial,5,3,format,16,26,0.6153846153846154
0.0,adversarial,5,3,language,0,10,0.0
0.0,adversarial,5,3,persona,0,9,0.0
0.0,adversarial,5,4,behavior,1,16,0.0625
0.0,adversarial,5,4,format,15,25,0.6
0.0,adversarial,5,4,language,0,10,0.0
0.0,adversarial,5,4,persona,0,9,0.0
0.0,adversarial,5,5,behavior,1,16,0.0625
0.0,adversarial,5,5,format,16,28,0.5714285714285714
0.0,adversarial,5,5,language,0,10,0.0
0.0,adversarial,5,5,persona,0,12,0.0
0.0,adversarial,5,6,behavior,1,21,0.047619047619047616
0.0,adversarial,5,6,format,18,28,0.6428571428571429
0.0,adversarial,5,6,language,0,10,0.0
0.0,adversarial,5,6,persona,0,9,0.0
0.0,adversarial,5,7,behavior,0,16,0.0
0.0,adversarial,5,7,format,16,27,0.5925925925925926
0.0,adversarial,5,7,language,0,10,0.0
0.0,adversarial,5,7,persona,0,11,0.0
0.0,adversarial,5,8,behavior,0,16,0.0
0.0,adversarial,5,8,format,15,26,0.5769230769230769
0.0,adversarial,5,8,language,0,10,0.0
0.0,adversarial,5,8,persona,0,13,0.0
0.0,adversarial,5,9,behavior,0,13,0.0
0.0,adversarial,5,9,format,18,29,0.6206896551724138
0.0,adversarial,5,9,language,0,10,0.0
0.0,adversarial,5,9,persona,0,12,0.0
0.0,adversarial,5,10,behavior,0,19,0.0
0.0,adversarial,5,10,format,20,31,0.6451612903225806
0.0,adversarial,5,10,language,0,10,0.0
0.0,adversarial,5,10,persona,0,12,0.0
0.0,adversarial,5,11,behavior,0,16,0.0
0.0,adversarial,5,11,format,20,31,0.6451612903225806
