temperature,attack_intensity,rule_count,rule_type,trajectories,failed_trajectories,failure_rate,mean_first_failure_turn,median_first_failure_turn,p25_first_failure_turn,p75_first_failure_turn,min_first_failure_turn,max_first_failure_turn
0.0,adversarial,1,format,2,2,1.0,14.5,14.5,14.25,14.75,14,15
0.0,adversarial,3,behavior,17,4,0.23529411764705882,11.25,14.0,11.25,14.0,3,14
0.0,adversarial,3,format,28,28,1.0,8.357142857142858,14.0,1.0,14.25,1,15
0.0,adversarial,3,language,4,0,0.0,,,,,,
0.0,adversarial,3,persona,10,1,0.1,15,15,15.0,15.0,15,15
0.0,adversarial,5,behavior,32,9,0.28125,10.88888888888889,14,6.0,14.0,4,14
0.0,adversarial,5,format,32,32,1.0,6.65625,2.5,1.0,14.0,1,15
0.0,adversarial,5,language,10,0,0.0,,,,,,
0.0,adversarial,5,persona,22,0,0.0,,,,,,
0.0,adversarial,7,behavior,41,17,0.4146341463414634,9.705882352941176,10,8.0,14.0,2,14
0.0,adversarial,7,format,46,46,1.0,4.021739130434782,1.0,1.0,3.75,1,15
0.0,adversarial,7,language,16,0,0.0,,,,,,
0.0,adversarial,7,persona,36,1,0.027777777777777776,3,3,3.0,3.0,3,3
0.0,benign,1,format,1,0,0.0,,,,,,
0.0,benign,3,behavior,8,1,0.125,1,1,1.0,1.0,1,1
0.0,benign,3,format,14,8,0.5714285714285714,1,1.0,1.0,1.0,1,1
0.0,benign,3,language,2,0,0.0,,,,,,
0.0,benign,3,persona,5,0,0.0,,,,,,
0.0,benign,5,behavior,17,3,0.17647058823529413,10.333333333333334,11,8.5,12.5,6,14
0.0,benign,5,format,16,10,0.625,3.2,1.0,1.0,5.5,1,11
0.0,benign,5,language,5,0,0.0,,,,,,
0.0,benign,5,persona,11,0,0.0,,,,,,
0.0,benign,7,behavior,21,4,0.19047619047619047,6.75,6.0,2.75,10.0,2,13
0.0,benign,7,format,23,16,0.6956521739130435,1.8125,1.0,1.0,2.25,1,6
0.0,benign,7,language,8,2,0.25,5,5.0,5.0,5.0,5,5
0.0,benign,7,persona,18,0,0.0,,,,,,
