temperature,rule_count,turn_count,attack_intensity,n,per_rule_pass_rate_mean,per_rule_pass_rate_std,perfect_success_mean,perfect_success_std,gap_pp,targeted_rule_success_mean,targeted_rule_success_std,targeted_n,non_target_failure_mean,non_target_failure_std,non_target_n
0.0,1,1,adversarial,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,nan,nan,0
0.0,1,1,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,5,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,5,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,10,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,10,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,1,15,adversarial,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,nan,nan,0
0.0,1,15,benign,1,1.0,0.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0
0.0,3,1,adversarial,10,0.36666666666666664,0.22110831935702666,0.0,0.0,36.666666666666664,0.0,0.0,10,0.6,0.4898979485566356,10
0.0,3,1,benign,10,0.7333333333333333,0.2260776661041756,0.4,0.4898979485566356,33.33333333333333,nan,nan,0,nan,nan,0
0.0,3,5,adversarial,20,0.27499999999999997,0.2190573238015819,0.0,0.0,27.499999999999996,0.0,0.0,20,0.6666666666666666,0.4714045207910317,18
0.0,3,5,benign,10,0.7666666666666666,0.2,0.4,0.4898979485566356,36.66666666666666,nan,nan,0,nan,nan,0
0.0,3,10,adversarial,20,0.4083333333333333,0.17853571071357124,0.0,0.0,40.833333333333336,0.0,0.0,20,0.5,0.5,20
0.0,3,10,benign,10,0.7166666666666667,0.24776781245530843,0.4,0.4898979485566356,31.666666666666664,nan,nan,0,nan,nan,0
0.0,3,15,adversarial,20,0.30833333333333335,0.1920286436967152,0.0,0.0,30.833333333333336,0.0,0.0,20,0.6111111111111112,0.48749802152178456,18
0.0,3,15,benign,10,0.7166666666666667,0.21147629234082535,0.3,0.458257569495584,41.66666666666667,nan,nan,0,nan,nan,0
0.0,5,1,adversarial,10,0.5383333333333333,0.16600702796367792,0.0,0.0,53.833333333333336,0.0,0.0,10,0.8,0.4,10
0.0,5,1,benign,10,0.7966666666666666,0.2208317610006918,0.5,0.5,29.666666666666664,nan,nan,0,nan,nan,0
0.0,5,5,adversarial,20,0.4716666666666667,0.16667499979167708,0.0,0.0,47.16666666666667,0.0,0.0,20,0.85,0.3570714214271425,20
0.0,5,5,benign,10,0.8016666666666666,0.17755280904564705,0.4,0.4898979485566356,40.166666666666664,nan,nan,0,nan,nan,0
0.0,5,10,adversarial,20,0.415,0.21206000199105074,0.0,0.0,41.5,0.0,0.0,20,0.85,0.3570714214271425,20
0.0,5,10,benign,10,0.6416666666666666,0.2688710967483613,0.2,0.4,44.16666666666666,nan,nan,0,nan,nan,0
0.0,5,15,adversarial,20,0.41333333333333333,0.1934769581457527,0.0,0.0,41.333333333333336,0.0,0.0,20,0.9,0.3,20
0.0,5,15,benign,10,0.6266666666666667,0.29204261485079347,0.2,0.4,42.66666666666667,nan,nan,0,nan,nan,0
0.0,7,1,adversarial,10,0.5447619047619048,0.14586049309772683,0.0,0.0,54.47619047619048,0.0,0.0,10,1.0,0.0,10
0.0,7,1,benign,10,0.6716666666666666,0.14644870167475785,0.1,0.3,57.166666666666664,nan,nan,0,nan,nan,0
0.0,7,5,adversarial,20,0.5,0.10413230725843918,0.0,0.0,50.0,0.0,0.0,20,1.0,0.0,20
0.0,7,5,benign,10,0.700952380952381,0.14112521578588375,0.1,0.3,60.0952380952381,nan,nan,0,nan,nan,0
0.0,7,10,adversarial,20,0.45976190476190476,0.13009219650631137,0.0,0.0,45.976190476190474,0.0,0.0,20,0.95,0.21794494717703367,20
0.0,7,10,benign,10,0.7030952380952381,0.152515007997243,0.1,0.3,60.30952380952381,nan,nan,0,nan,nan,0
0.0,7,15,adversarial,20,0.4344047619047619,0.12617806542744003,0.0,0.0,43.44047619047619,0.0,0.0,20,1.0,0.0,20
0.0,7,15,benign,10,0.7521428571428571,0.12231909683793112,0.1,0.3,65.21428571428571,nan,nan,0,nan,nan,0
