rule_count,turn_count,attack_order_variant,per_rule_pass_rate_mean,per_rule_pass_rate_std,per_rule_pass_rate_n,perfect_success_mean,perfect_success_std,perfect_success_n,targeted_rule_success_mean,targeted_rule_success_std,targeted_rule_success_n,non_target_failure_mean,non_target_failure_std,non_target_failure_n
1,1,single_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,5,implicit_then_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,5,adversarial_then_implicit,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,10,implicit_then_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,10,adversarial_then_implicit,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,15,implicit_then_adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
1,15,adversarial_then_implicit,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
3,1,single_adversarial,0.36666666666666664,0.20816659994661327,10,0.0,0.0,10,0.0,0.0,10,0.5,0.5,10
3,5,implicit_then_adversarial,0.31666666666666665,0.229128784747792,10,0.0,0.0,10,0.0,0.0,10,0.5555555555555556,0.49690399499995325,9
3,5,adversarial_then_implicit,0.23333333333333334,0.2494438257849294,10,0.0,0.0,10,0.0,0.0,10,0.625,0.4841229182759271,8
3,10,implicit_then_adversarial,0.39999999999999997,0.1699673171197595,10,0.0,0.0,10,0.0,0.0,10,0.5,0.5,10
3,10,adversarial_then_implicit,0.45,0.07637626158259735,10,0.0,0.0,10,0.0,0.0,10,0.3,0.458257569495584,10
3,15,implicit_then_adversarial,0.2833333333333333,0.19790570145063197,10,0.0,0.0,10,0.0,0.0,10,0.6666666666666666,0.4714045207910317,9
3,15,adversarial_then_implicit,0.25,0.21408720964441882,10,0.0,0.0,10,0.0,0.0,10,0.625,0.4841229182759271,8
5,1,single_adversarial,0.41833333333333333,0.24272183438843917,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,5,implicit_then_adversarial,0.44166666666666665,0.19021187017522212,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,5,adversarial_then_implicit,0.425,0.19878100736460938,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,10,implicit_then_adversarial,0.3433333333333333,0.24451766580124407,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
5,10,adversarial_then_implicit,0.375,0.2667968432263687,10,0.0,0.0,10,0.0,0.0,10,0.7,0.458257569495584,10
5,15,implicit_then_adversarial,0.375,0.233482095435365,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
5,15,adversarial_then_implicit,0.36666666666666664,0.23629078131263043,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
7,1,single_adversarial,0.475,0.16951728853161588,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,5,implicit_then_adversarial,0.43333333333333335,0.11547005383792515,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,5,adversarial_then_implicit,0.48333333333333334,0.10979779394667069,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,10,implicit_then_adversarial,0.435,0.11982626312012461,10,0.0,0.0,10,0.0,0.0,10,0.9,0.3,10
7,10,adversarial_then_implicit,0.4033333333333333,0.11590225767142473,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,15,implicit_then_adversarial,0.40166666666666667,0.11889537884674539,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
7,15,adversarial_then_implicit,0.38166666666666665,0.10864058991821508,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
