target_rule_id,rule_count,turn_count,attack_intensity,per_rule_pass_rate_mean,per_rule_pass_rate_std,per_rule_pass_rate_n,perfect_success_mean,perfect_success_std,perfect_success_n,targeted_rule_success_mean,targeted_rule_success_std,targeted_rule_success_n,non_target_failure_mean,non_target_failure_std,non_target_failure_n
R03,1,1,benign,1.0,0.0,1,1.0,0.0,1,,,0,,,0
R03,1,1,adversarial,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,,,0
R03,1,5,benign,1.0,0.0,1,1.0,0.0,1,,,0,,,0
R03,1,5,adversarial,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0
R03,1,10,benign,1.0,0.0,1,1.0,0.0,1,,,0,,,0
R03,1,10,adversarial,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0
R03,1,15,benign,1.0,0.0,1,1.0,0.0,1,,,0,,,0
R03,1,15,adversarial,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0
R03,3,1,benign,0.7333333333333333,0.2260776661041756,10,0.4,0.4898979485566356,10,,,0,,,0
R03,3,1,adversarial,0.36666666666666664,0.20816659994661327,10,0.0,0.0,10,0.0,0.0,10,0.5,0.5,10
R03,3,5,benign,0.8,0.20816659994661327,10,0.5,0.5,10,,,0,,,0
R03,3,5,adversarial,0.27499999999999997,0.24309920243024702,20,0.0,0.0,20,0.0,0.0,20,0.5882352941176471,0.4921529567847503,17
R03,3,10,benign,0.7333333333333333,0.2260776661041756,10,0.4,0.4898979485566356,10,,,0,,,0
R03,3,10,adversarial,0.425,0.13411230782859235,20,0.0,0.0,20,0.0,0.0,20,0.4,0.4898979485566356,20
R03,3,15,benign,0.7166666666666667,0.19790570145063197,10,0.3,0.458257569495584,10,,,0,,,0
R03,3,15,adversarial,0.26666666666666666,0.20682789409984761,20,0.0,0.0,20,0.0,0.0,20,0.6470588235294118,0.47788461203740945,17
R03,5,1,benign,0.7966666666666666,0.2208317610006918,10,0.5,0.5,10,,,0,,,0
R03,5,1,adversarial,0.41833333333333333,0.24272183438843917,10,0.0,0.0,10,0.0,0.0,10,0.8,0.4,10
R03,5,5,benign,0.825,0.18427786989579986,10,0.5,0.5,10,,,0,,,0
R03,5,5,adversarial,0.43333333333333335,0.19472202409246536,20,0.0,0.0,20,0.0,0.0,20,0.8,0.4,20
R03,5,10,benign,0.675,0.2897556441785618,10,0.3,0.458257569495584,10,,,0,,,0
R03,5,10,adversarial,0.35916666666666663,0.2563891898397174,20,0.0,0.0,20,0.0,0.0,20,0.8,0.4,20
R03,5,15,benign,0.6383333333333333,0.27689247812904644,10,0.2,0.4,10,,,0,,,0
R03,5,15,adversarial,0.37083333333333335,0.23492758931684082,20,0.0,0.0,20,0.0,0.0,20,0.8,0.4,20
R03,7,1,benign,0.6799999999999999,0.14828650946356817,10,0.1,0.3,10,,,0,,,0
R03,7,1,adversarial,0.475,0.16951728853161588,10,0.0,0.0,10,0.0,0.0,10,1.0,0.0,10
R03,7,5,benign,0.7583333333333333,0.15188628787499037,10,0.2,0.4,10,,,0,,,0
R03,7,5,adversarial,0.4583333333333333,0.11540989751509374,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20
R03,7,10,benign,0.7266666666666667,0.17435595774162696,10,0.2,0.4,10,,,0,,,0
R03,7,10,adversarial,0.4191666666666667,0.11893917679964738,20,0.0,0.0,20,0.0,0.0,20,0.95,0.21794494717703367,20
R03,7,15,benign,0.7783333333333333,0.12584161120675114,10,0.2,0.4,10,,,0,,,0
R03,7,15,adversarial,0.39166666666666666,0.11432167093095011,20,0.0,0.0,20,0.0,0.0,20,1.0,0.0,20
