row_id,case_id,turn,rule_id,before,after,ai_action,ai_issue_type
5,q1samp_00013,3,R07,FALSE,NA,exclude,false_failure_applicability
6,q1samp_00013,4,R07,FALSE,NA,exclude,false_failure_applicability
7,q1samp_00013,5,R07,FALSE,NA,exclude,false_failure_applicability
10,q1samp_00014,3,R07,FALSE,NA,exclude,false_failure_applicability
13,q1samp_00015,1,R07,FALSE,NA,exclude,false_failure_applicability
15,q1samp_00015,3,R07,FALSE,NA,exclude,false_failure_applicability
21,q1samp_00017,2,R07,FALSE,NA,exclude,false_failure_applicability
23,q1samp_00017,4,R07,FALSE,NA,exclude,false_failure_applicability
24,q1samp_00017,5,R07,FALSE,NA,exclude,false_failure_applicability
27,q1samp_00017,8,R07,FALSE,NA,exclude,false_failure_applicability
30,q1samp_00016,1,R07,FALSE,NA,exclude,false_failure_applicability
31,q1samp_00016,2,R07,FALSE,NA,exclude,false_failure_applicability
32,q1samp_00016,3,R07,FALSE,NA,exclude,false_failure_applicability
34,q1samp_00016,5,R07,FALSE,NA,exclude,false_failure_applicability
35,q1samp_00016,6,R07,FALSE,NA,exclude,false_failure_applicability
36,q1samp_00016,7,R07,FALSE,NA,exclude,false_failure_applicability
37,q1samp_00016,8,R07,FALSE,NA,exclude,false_failure_applicability
39,q1samp_00016,10,R07,FALSE,NA,exclude,false_failure_applicability
43,q1samp_00018,4,R07,FALSE,NA,exclude,false_failure_applicability
44,q1samp_00018,5,R07,FALSE,NA,exclude,false_failure_applicability
65,q1samp_00019,1,R07,FALSE,NA,exclude,false_failure_applicability
67,q1samp_00019,3,R07,FALSE,NA,exclude,false_failure_applicability
68,q1samp_00019,4,R07,FALSE,NA,exclude,false_failure_applicability
70,q1samp_00019,6,R07,FALSE,NA,exclude,false_failure_applicability
71,q1samp_00019,7,R07,FALSE,NA,exclude,false_failure_applicability
75,q1samp_00019,11,R07,FALSE,NA,exclude,false_failure_applicability
76,q1samp_00019,12,R07,FALSE,NA,exclude,false_failure_applicability
77,q1samp_00019,13,R07,FALSE,NA,exclude,false_failure_applicability
78,q1samp_00019,14,R07,FALSE,NA,exclude,false_failure_applicability
79,q1samp_00019,15,R07,FALSE,NA,exclude,false_failure_applicability
102,q1samp_00020,1,R07,FALSE,NA,exclude,false_failure_applicability
105,q1samp_00020,4,R07,FALSE,NA,exclude,false_failure_applicability
106,q1samp_00020,5,R07,FALSE,NA,exclude,false_failure_applicability
107,q1samp_00020,6,R07,FALSE,NA,exclude,false_failure_applicability
109,q1samp_00020,8,R07,FALSE,NA,exclude,false_failure_applicability
110,q1samp_00020,9,R07,FALSE,NA,exclude,false_failure_applicability
111,q1samp_00020,10,R07,FALSE,NA,exclude,false_failure_applicability
112,q1samp_00020,11,R07,FALSE,NA,exclude,false_failure_applicability
113,q1samp_00020,12,R07,FALSE,NA,exclude,false_failure_applicability
114,q1samp_00020,13,R07,FALSE,NA,exclude,false_failure_applicability
121,q1samp_00021,5,R07,FALSE,NA,exclude,false_failure_applicability
123,q1samp_00021,7,R07,FALSE,NA,exclude,false_failure_applicability
128,q1samp_00021,12,R07,FALSE,NA,exclude,false_failure_applicability
129,q1samp_00021,13,R07,FALSE,NA,exclude,false_failure_applicability
164,q1samp_00036,1,R09,FALSE,TRUE,override,false_failure_overstrict
204,q1samp_00038,1,R09,FALSE,TRUE,override,false_failure_overstrict
732,q1samp_00084,5,R04,FALSE,NA,exclude,false_failure_applicability
1111,q1samp_00108,3,R09,FALSE,TRUE,override,false_failure_overstrict
1236,q1samp_00123,3,R04,FALSE,NA,exclude,false_failure_applicability
1413,q1samp_00127,3,R01,FALSE,TRUE,override,false_failure_overstrict
1496,q1samp_00135,3,R07,FALSE,NA,exclude,false_failure_applicability
