temperature,attack_intensity,rule_count,rule_type,trajectories,failed_trajectories,failure_rate,mean_first_failure_turn,median_first_failure_turn,p25_first_failure_turn,p75_first_failure_turn,min_first_failure_turn,max_first_failure_turn
0.0,adversarial,1,format,2,2,1.0,14.5,14.5,14.25,14.75,14,15
0.0,adversarial,3,behavior,17,4,0.23529411764705882,14,14.0,14.0,14.0,14,14
0.0,adversarial,3,format,28,28,1.0,9.142857142857142,14.0,1.0,14.25,1,15
0.0,adversarial,3,language,4,0,0.0,,,,,,
0.0,adversarial,3,persona,10,1,0.1,15,15,15.0,15.0,15,15
0.0,adversarial,5,behavior,32,8,0.25,13,14.0,14.0,14.0,6,14
0.0,adversarial,5,format,32,32,1.0,8.46875,14.0,1.0,14.0,1,15
0.0,adversarial,5,language,10,0,0.0,,,,,,
0.0,adversarial,5,persona,21,0,0.0,,,,,,
0.0,adversarial,7,behavior,41,16,0.3902439024390244,13.1875,14.0,14.0,14.0,7,14
0.0,adversarial,7,format,46,46,1.0,6.717391304347826,1.0,1.0,14.0,1,15
0.0,adversarial,7,language,16,0,0.0,,,,,,
0.0,adversarial,7,persona,36,1,0.027777777777777776,3,3,3.0,3.0,3,3
0.0,benign,1,format,1,0,0.0,,,,,,
0.0,benign,3,behavior,8,1,0.125,1,1,1.0,1.0,1,1
0.0,benign,3,format,14,7,0.5,1,1,1.0,1.0,1,1
0.0,benign,3,language,2,0,0.0,,,,,,
0.0,benign,3,persona,5,0,0.0,,,,,,
0.0,benign,5,behavior,17,1,0.058823529411764705,14,14,14.0,14.0,14,14
0.0,benign,5,format,15,7,0.4666666666666667,1,1,1.0,1.0,1,1
0.0,benign,5,language,5,0,0.0,,,,,,
0.0,benign,5,persona,11,0,0.0,,,,,,
0.0,benign,7,behavior,21,3,0.14285714285714285,9.333333333333334,9,7.0,11.5,5,14
0.0,benign,7,format,23,11,0.4782608695652174,1,1,1.0,1.0,1,1
0.0,benign,7,language,8,0,0.0,,,,,,
0.0,benign,7,persona,18,0,0.0,,,,,,
