attack_target_rule_id,attack_target_type,perfect_failure_records_with_target,failed_rule_id,failed_rule_type,failed_count,failed_rate
R01,language,1,R01,language,1,1.0
R01,language,1,R02,format,0,0.0
R01,language,1,R03,format,0,0.0
R01,language,1,R04,behavior,0,0.0
R01,language,1,R05,persona,0,0.0
R01,language,1,R06,behavior,0,0.0
R01,language,1,R07,format,0,0.0
R01,language,1,R09,behavior,0,0.0
R01,language,1,R10,persona,0,0.0
R02,format,1,R01,language,0,0.0
R02,format,1,R02,format,1,1.0
R02,format,1,R03,format,0,0.0
R02,format,1,R04,behavior,0,0.0
R02,format,1,R05,persona,0,0.0
R02,format,1,R06,behavior,0,0.0
R02,format,1,R07,format,0,0.0
R02,format,1,R09,behavior,0,0.0
R02,format,1,R10,persona,0,0.0
R03,format,1,R01,language,0,0.0
R03,format,1,R02,format,0,0.0
R03,format,1,R03,format,1,1.0
R03,format,1,R04,behavior,0,0.0
R03,format,1,R05,persona,0,0.0
R03,format,1,R06,behavior,0,0.0
R03,format,1,R07,format,0,0.0
R03,format,1,R09,behavior,0,0.0
R03,format,1,R10,persona,0,0.0
R04,behavior,1,R01,language,0,0.0
R04,behavior,1,R02,format,0,0.0
R04,behavior,1,R03,format,0,0.0
R04,behavior,1,R04,behavior,1,1.0
R04,behavior,1,R05,persona,0,0.0
R04,behavior,1,R06,behavior,0,0.0
R04,behavior,1,R07,format,0,0.0
R04,behavior,1,R09,behavior,0,0.0
R04,behavior,1,R10,persona,0,0.0
R05,persona,1,R01,language,0,0.0
R05,persona,1,R02,format,0,0.0
R05,persona,1,R03,format,0,0.0
R05,persona,1,R04,behavior,0,0.0
R05,persona,1,R05,persona,1,1.0
R05,persona,1,R06,behavior,0,0.0
R05,persona,1,R07,format,0,0.0
R05,persona,1,R09,behavior,0,0.0
R05,persona,1,R10,persona,0,0.0
R06,behavior,1,R01,language,0,0.0
R06,behavior,1,R02,format,0,0.0
R06,behavior,1,R03,format,0,0.0
R06,behavior,1,R04,behavior,0,0.0
R06,behavior,1,R05,persona,0,0.0
R06,behavior,1,R06,behavior,1,1.0
R06,behavior,1,R07,format,0,0.0
R06,behavior,1,R09,behavior,0,0.0
R06,behavior,1,R10,persona,0,0.0
R07,format,1,R01,language,0,0.0
R07,format,1,R02,format,0,0.0
R07,format,1,R03,format,0,0.0
R07,format,1,R04,behavior,0,0.0
R07,format,1,R05,persona,0,0.0
R07,format,1,R06,behavior,0,0.0
R07,format,1,R07,format,1,1.0
R07,format,1,R09,behavior,0,0.0
R07,format,1,R10,persona,0,0.0
R09,behavior,1,R01,language,0,0.0
R09,behavior,1,R02,format,0,0.0
R09,behavior,1,R03,format,0,0.0
R09,behavior,1,R04,behavior,0,0.0
R09,behavior,1,R05,persona,0,0.0
R09,behavior,1,R06,behavior,0,0.0
R09,behavior,1,R07,format,0,0.0
R09,behavior,1,R09,behavior,1,1.0
R09,behavior,1,R10,persona,0,0.0
R10,persona,1,R01,language,0,0.0
R10,persona,1,R02,format,0,0.0
R10,persona,1,R03,format,0,0.0
R10,persona,1,R04,behavior,0,0.0
R10,persona,1,R05,persona,0,0.0
R10,persona,1,R06,behavior,0,0.0
R10,persona,1,R07,format,0,0.0
R10,persona,1,R09,behavior,0,0.0
R10,persona,1,R10,persona,1,1.0
