condition,rule_count,turn_count,attack_order_variant,sampled_variant_id,possible_variant_id,active_rule_ids
benign_context,1,1,none,R01_v1,R01_p1,R01
injection_context,1,1,single_adversarial,R01_v1,R01_p1,R01
benign_context,3,1,none,R01_v3,R01_p3,R01|R02
injection_context,3,1,single_adversarial,R01_v3,R01_p3,R01|R02
benign_context,1,1,none,R02_v1,R02_p1,R02
injection_context,1,1,single_adversarial,R02_v1,R02_p1,R02
benign_context,3,1,none,R02_v3,R02_p3,R02|R03
injection_context,3,1,single_adversarial,R02_v3,R02_p3,R02|R03
benign_context,1,1,none,R03_v1,R03_p1,R03
injection_context,1,1,single_adversarial,R03_v1,R03_p1,R03
benign_context,3,1,none,R03_v3,R03_p3,R03|R02
injection_context,3,1,single_adversarial,R03_v3,R03_p3,R03|R02
benign_context,1,1,none,R04_v1,R04_p1,R04
injection_context,1,1,single_adversarial,R04_v1,R04_p1,R04
benign_context,3,1,none,R04_v3,R04_p3,R04|R02
injection_context,3,1,single_adversarial,R04_v3,R04_p3,R04|R02
benign_context,1,1,none,R05_v1,R05_p1,R05
injection_context,1,1,single_adversarial,R05_v1,R05_p1,R05
benign_context,3,1,none,R05_v3,R05_p3,R05|R02
injection_context,3,1,single_adversarial,R05_v3,R05_p3,R05|R02
benign_context,1,1,none,R06_v1,R06_p1,R06
injection_context,1,1,single_adversarial,R06_v1,R06_p1,R06
benign_context,3,1,none,R06_v3,R06_p3,R06|R02
injection_context,3,1,single_adversarial,R06_v3,R06_p3,R06|R02
benign_context,1,1,none,R07_v1,R07_p1,R07
injection_context,1,1,single_adversarial,R07_v1,R07_p1,R07
benign_context,3,1,none,R07_v3,R07_p3,R07|R02
injection_context,3,1,single_adversarial,R07_v3,R07_p3,R07|R02
benign_context,1,1,none,R09_v1,R09_p1,R09
injection_context,1,1,single_adversarial,R09_v1,R09_p1,R09
benign_context,3,1,none,R09_v3,R09_p3,R09|R02
injection_context,3,1,single_adversarial,R09_v3,R09_p3,R09|R02
benign_context,1,1,none,R10_v1,R10_p1,R10
injection_context,1,1,single_adversarial,R10_v1,R10_p1,R10
benign_context,3,1,none,R10_v3,R10_p3,R10|R02
injection_context,3,1,single_adversarial,R10_v3,R10_p3,R10|R02
