z-ai/glm-5-turbo 	 (Z.ai: GLM 5 Turbo)
x-ai/grok-4.20-multi-agent-beta 	 (xAI: Grok 4.20 Multi-Agent Beta)
x-ai/grok-4.20-beta 	 (xAI: Grok 4.20 Beta)
openrouter/hunter-alpha 	 (Hunter Alpha)
openrouter/healer-alpha 	 (Healer Alpha)
nvidia/nemotron-3-super-120b-a12b:free 	 (NVIDIA: Nemotron 3 Super (free))
bytedance-seed/seed-2.0-lite 	 (ByteDance Seed: Seed-2.0-Lite)
qwen/qwen3.5-9b 	 (Qwen: Qwen3.5-9B)
openai/gpt-5.4-pro 	 (OpenAI: GPT-5.4 Pro)
openai/gpt-5.4 	 (OpenAI: GPT-5.4)
inception/mercury-2 	 (Inception: Mercury 2)
openai/gpt-5.3-chat 	 (OpenAI: GPT-5.3 Chat)
google/gemini-3.1-flash-lite-preview 	 (Google: Gemini 3.1 Flash Lite Preview)
bytedance-seed/seed-2.0-mini 	 (ByteDance Seed: Seed-2.0-Mini)
google/gemini-3.1-flash-image-preview 	 (Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview))
qwen/qwen3.5-35b-a3b 	 (Qwen: Qwen3.5-35B-A3B)
qwen/qwen3.5-27b 	 (Qwen: Qwen3.5-27B)
qwen/qwen3.5-122b-a10b 	 (Qwen: Qwen3.5-122B-A10B)
qwen/qwen3.5-flash-02-23 	 (Qwen: Qwen3.5-Flash)
liquid/lfm-2-24b-a2b 	 (LiquidAI: LFM2-24B-A2B)
google/gemini-3.1-pro-preview-customtools 	 (Google: Gemini 3.1 Pro Preview Custom Tools)
openai/gpt-5.3-codex 	 (OpenAI: GPT-5.3-Codex)
aion-labs/aion-2.0 	 (AionLabs: Aion-2.0)
google/gemini-3.1-pro-preview 	 (Google: Gemini 3.1 Pro Preview)
anthropic/claude-sonnet-4.6 	 (Anthropic: Claude Sonnet 4.6)
qwen/qwen3.5-plus-02-15 	 (Qwen: Qwen3.5 Plus 2026-02-15)
qwen/qwen3.5-397b-a17b 	 (Qwen: Qwen3.5 397B A17B)
minimax/minimax-m2.5:free 	 (MiniMax: MiniMax M2.5 (free))
minimax/minimax-m2.5 	 (MiniMax: MiniMax M2.5)
z-ai/glm-5 	 (Z.ai: GLM 5)
qwen/qwen3-max-thinking 	 (Qwen: Qwen3 Max Thinking)
anthropic/claude-opus-4.6 	 (Anthropic: Claude Opus 4.6)
qwen/qwen3-coder-next 	 (Qwen: Qwen3 Coder Next)
openrouter/free 	 (Free Models Router)
stepfun/step-3.5-flash:free 	 (StepFun: Step 3.5 Flash (free))
stepfun/step-3.5-flash 	 (StepFun: Step 3.5 Flash)
arcee-ai/trinity-large-preview:free 	 (Arcee AI: Trinity Large Preview (free))
moonshotai/kimi-k2.5 	 (MoonshotAI: Kimi K2.5)
upstage/solar-pro-3 	 (Upstage: Solar Pro 3)
minimax/minimax-m2-her 	 (MiniMax: MiniMax M2-her)
writer/palmyra-x5 	 (Writer: Palmyra X5)
liquid/lfm-2.5-1.2b-thinking:free 	 (LiquidAI: LFM2.5-1.2B-Thinking (free))
liquid/lfm-2.5-1.2b-instruct:free 	 (LiquidAI: LFM2.5-1.2B-Instruct (free))
openai/gpt-audio 	 (OpenAI: GPT Audio)
openai/gpt-audio-mini 	 (OpenAI: GPT Audio Mini)
z-ai/glm-4.7-flash 	 (Z.ai: GLM 4.7 Flash)
openai/gpt-5.2-codex 	 (OpenAI: GPT-5.2-Codex)
allenai/molmo-2-8b 	 (AllenAI: Molmo2 8B)
allenai/olmo-3.1-32b-instruct 	 (AllenAI: Olmo 3.1 32B Instruct)
bytedance-seed/seed-1.6-flash 	 (ByteDance Seed: Seed 1.6 Flash)
bytedance-seed/seed-1.6 	 (ByteDance Seed: Seed 1.6)
minimax/minimax-m2.1 	 (MiniMax: MiniMax M2.1)
z-ai/glm-4.7 	 (Z.ai: GLM 4.7)
google/gemini-3-flash-preview 	 (Google: Gemini 3 Flash Preview)
mistralai/mistral-small-creative 	 (Mistral: Mistral Small Creative)
allenai/olmo-3.1-32b-think 	 (AllenAI: Olmo 3.1 32B Think)
xiaomi/mimo-v2-flash 	 (Xiaomi: MiMo-V2-Flash)
nvidia/nemotron-3-nano-30b-a3b:free 	 (NVIDIA: Nemotron 3 Nano 30B A3B (free))
nvidia/nemotron-3-nano-30b-a3b 	 (NVIDIA: Nemotron 3 Nano 30B A3B)
openai/gpt-5.2-chat 	 (OpenAI: GPT-5.2 Chat)
openai/gpt-5.2-pro 	 (OpenAI: GPT-5.2 Pro)
openai/gpt-5.2 	 (OpenAI: GPT-5.2)
mistralai/devstral-2512 	 (Mistral: Devstral 2 2512)
